 Item ID  |  Item Name
  20CE    |   31,000 Bells
  20CF    |   32,000 Bells
  20D0    |   33,000 Bells
  20D1    |   34,000 Bells
  20D2    |   35,000 Bells
  20D3    |   36,000 Bells
  20D4    |   37,000 Bells
  20D5    |   38,000 Bells
  20D6    |   39,000 Bells
  20D7    |   40,000 Bells
  20D8    |   41,000 Bells
  20D9    |   42,000 Bells
  20DA    |   43,000 Bells
  20DB    |   44,000 Bells
  20DC    |   45,000 Bells
  20DD    |   46,000 Bells
  20DE    |   47,000 Bells
  20DF    |   48,000 Bells
  20E0    |   49,000 Bells
  20E1    |   50,000 Bells
  20E2    |   51,000 Bells
  20E3    |   52,000 Bells
  20E4    |   53,000 Bells
  20E5    |   54,000 Bells
  20E6    |   55,000 Bells
  20E7    |   56,000 Bells
  20E8    |   57,000 Bells
  20E9    |   58,000 Bells
  20EA    |   59,000 Bells
  20EB    |   60,000 Bells
  20EC    |   61,000 Bells
  20ED    |   62,000 Bells
  20EE    |   63,000 Bells
  20EF    |   64,000 Bells
  20F0    |   65,000 Bells
  20F1    |   66,000 Bells
  20F2    |   67,000 Bells
  20F3    |   68,000 Bells
  20F4    |   69,000 Bells
  20F5    |   70,000 Bells
  20F6    |   71,000 Bells
  20F7    |   72,000 Bells
  20F8    |   73,000 Bells
  20F9    |   74,000 Bells
  20FA    |   75,000 Bells
  20FB    |   76,000 Bells
  20FC    |   77,000 Bells
  20FD    |   78,000 Bells
  20FE    |   79,000 Bells
  20FF    |   80,000 Bells
  2100    |   81,000 Bells
  2101    |   82,000 Bells
  2102    |   83,000 Bells
  2103    |   84,000 Bells
  2104    |   85,000 Bells
  2105    |   86,000 Bells
  2106    |   87,000 Bells
  2107    |   88,000 Bells
  2108    |   89,000 Bells
  2109    |   90,000 Bells
  210A    |   91,000 Bells
  210B    |   92,000 Bells
  210C    |   93,000 Bells
  210D    |   94,000 Bells
  210E    |   95,000 Bells
  210F    |   96,000 Bells
  2110    |   97,000 Bells
  2111    |   98,000 Bells
  2112    |   99,000 Bells
  2113    |   Earth Egg
  2114    |   Tree Egg
  2115    |   Stone Egg
  2116    |   Sky Egg
  2117    |   Winning Ticket
  2118    |   Grand-Prize Ticket
  2119    |   Forest Wall (Mushroomized)
  211A    |   Forest Floor (Mushroomized)
  211B    |   Mush Bed (Mushroomized)
  211C    |   Mush Dresser (Mushroomized)
  211D    |   Mush Closet (Mushroomized)
  211E    |   Mush Chair (Mushroomized)
  211F    |   Mush Stool (Mushroomized)
  2120    |   Mush Table (Mushroomized)
  2121    |   Mush End Table (Mushroomized)
  2122    |   Mush Lamp (Mushroomized)
  2123    |   Mush Wall Lamp (Mushroomized)
  2124    |   Mush TV (Mushroomized)
  2125    |   Mush Hanger (Mushroomized)
  2126    |   K.K. Chorale
  2127    |   K.K. March
  2128    |   K.K. Waltz
  2129    |   K.K. Swing
  212A    |   K.K. Jazz
  212B    |   K.K. Fusion
  212C    |   K.K. Étude
  212D    |   K.K. Lullaby
  212E    |   K.K. Aria
  212F    |   K.K. Samba
  2130    |   K.K. Bossa
  2131    |   K.K. Calypso
  2132    |   K.K. Salsa
  2133    |   K.K. Mambo
  2134    |   K.K. Reggae
  2135    |   K.K. Ska
  2136    |   K.K. Tango
  2137    |   K.K. Faire
  2138    |   Aloha K.K.
  2139    |   Lucky K.K.
  213A    |   K.K. Condor
  213B    |   K.K. Steppe
  213C    |   Imperial K.K.
  213D    |   K.K. Casbah
  213E    |   K.K. Safari
  213F    |   K.K. Folk
  2140    |   K.K. Rock
  2141    |   Rockin' K.K.
  2142    |   K.K. Ragtime
  2143    |   K.K. Gumbo
  2144    |   The K. Funk
  2145    |   K.K. Blues
  2146    |   Soulful K.K.
  2147    |   K.K. Soul
  2148    |   K.K. Cruisin'
  2149    |   K.K. Love Song
  214A    |   K.K. D&B
  214B    |   K.K. Technopop
  214C    |   DJ K.K.
  214D    |   Only Me
  214E    |   K.K. Country
  214F    |   Surfin' K.K.
  2150    |   K.K. Ballad
  2151    |   Comrade K.K.
  2152    |   K.K. Lament
  2153    |   Go K.K. Rider
  2154    |   K.K. Dirge
  2155    |   K.K. Western
  2156    |   Mr. K.K.
  2157    |   Café K.K.
  2158    |   K.K. Parade
  2159    |   Señor K.K.
  215A    |   K.K. Song
  215B    |   I Love You
  215C    |   Two Days Ago
  215D    |   My Place
  215E    |   Forest Life
  215F    |   To The Edge
  2160    |   Pondering
  2161    |   K.K. Dixie
  2162    |   K.K. Marathon
  2163    |   King K.K.
  2164    |   Mountain Song
  2165    |   Marine Song 2001
  2166    |   Neapolitan
  2167    |   Steep Hill
  2168    |   K.K. Rockabilly
  2169    |   Agent K.K.
  216A    |   K.K. Rally
  216B    |   K.K. Metal
  216C    |   Stale Cupcakes
  216D    |   Spring Blossoms
  216E    |   Wandering
  216F    |   K.K. House
  2170    |   K.K. Sonata
  2171    |   Hypno K.K.
  2172    |   K.K. Stroll
  2173    |   K.K. Island
  2174    |   Space K.K.
  2175    |   K.K. Adventure
  2176    |   K.K. Oasis
  2177    |   K.K. Bazaar
  2178    |   K.K. Milonga
  2179    |   K.K. Groove
  217A    |   K.K. Jongara
  217B    |   K.K. Flamenco
  217C    |   K.K. Moody
  217D    |   Bubblegum K.K.
  217E    |   K.K. Synth
  217F    |   K.K. Disco
  2180    |   K.K. Birthday
  2181    |   ???
  2182    |   ???
  2183    |   ???
  2184    |   K.K. Chorale (Wall)
  2185    |   K.K. March (Wall)
  2186    |   K.K. Waltz (Wall)
  2187    |   K.K. Swing (Wall)
  2188    |   K.K. Jazz (Wall)
  2189    |   K.K. Fusion (Wall)
  218A    |   K.K. Étude (Wall)
  218B    |   K.K. Lullaby (Wall)
  218C    |   K.K. Aria (Wall)
  218D    |   K.K. Samba (Wall)
  218E    |   K.K. Bossa (Wall)
  218F    |   K.K. Calypso (Wall)
  2190    |   K.K. Salsa (Wall)
  2191    |   K.K. Mambo (Wall)
  2192    |   K.K. Reggae (Wall)
  2193    |   K.K. Ska (Wall)
  2194    |   K.K. Tango (Wall)
  2195    |   K.K. Faire (Wall)
  2196    |   Aloha K.K. (Wall)
  2197    |   Lucky K.K. (Wall)
  2198    |   K.K. Condor (Wall)
  2199    |   K.K. Steppe (Wall)
  219A    |   Imperial K.K. (Wall)
  219B    |   K.K. Casbah (Wall)
  219C    |   K.K. Safari (Wall)
  219D    |   K.K. Folk (Wall)
  219E    |   K.K. Rock (Wall)
  219F    |   Rockin' K.K. (Wall)
  21A0    |   K.K. Ragtime (Wall)
  21A1    |   K.K. Gumbo (Wall)
  21A2    |   The K. Funk (Wall)
  21A3    |   K.K. Blues (Wall)
  21A4    |   Soulful K.K. (Wall)
  21A5    |   K.K. Soul (Wall)
  21A6    |   K.K. Cruisin' (Wall)
  21A7    |   K.K. Love Song (Wall)
  21A8    |   K.K. D&B (Wall)
  21A9    |   K.K. Technopop (Wall)
  21AA    |   DJ K.K. (Wall)
  21AB    |   Only Me (Wall)
  21AC    |   K.K. Country (Wall)
  21AD    |   Surfin' K.K. (Wall)
  21AE    |   K.K. Ballad (Wall)
  21AF    |   Comrade K.K. (Wall)
  21B0    |   K.K. Lament (Wall)
  21B1    |   Go K.K. Rider (Wall)
  21B2    |   K.K. Dirge (Wall)
  21B3    |   K.K. Western (Wall)
  21B4    |   Mr. K.K. (Wall)
  21B5    |   Café K.K. (Wall)
  21B6    |   K.K. Parade (Wall)
  21B7    |   Señor K.K. (Wall)
  21B8    |   K.K. Song (Wall)
  21B9    |   I Love You (Wall)
  21BA    |   Two Days Ago (Wall)
  21BB    |   My Place (Wall)
  21BC    |   Forest Life (Wall)
  21BD    |   To The Edge (Wall)
  21BE    |   Pondering (Wall)
  21BF    |   K.K. Dixie (Wall)
  21C0    |   K.K. Marathon (Wall)
  21C1    |   King K.K. (Wall)
  21C2    |   Mountain Song (Wall)
  21C3    |   Marine Song 2001 (Wall)
  21C4    |   Neapolitan (Wall)
  21C5    |   Steep Hill (Wall)
  21C6    |   K.K. Rockabilly (Wall)
  21C7    |   Agent K.K. (Wall)
  21C8    |   K.K. Rally (Wall)
  21C9    |   K.K. Metal (Wall)
  21CA    |   Stale Cupcakes (Wall)
  21CB    |   Spring Blossoms (Wall)
  21CC    |   Wandering (Wall)
  21CD    |   K.K. House (Wall)
  21CE    |   K.K. Sonata (Wall)
  21CF    |   Hypno K.K. (Wall)
  21D0    |   K.K. Stroll (Wall)
  21D1    |   K.K. Island (Wall)
  21D2    |   Space K.K. (Wall)
  21D3    |   K.K. Adventure (Wall)
  21D4    |   K.K. Oasis (Wall)
  21D5    |   K.K. Bazaar (Wall)
  21D6    |   K.K. Milonga (Wall)
  21D7    |   K.K. Groove (Wall)
  21D8    |   K.K. Jongara (Wall)
  21D9    |   K.K. Flamenco (Wall)
  21DA    |   K.K. Moody (Wall)
  21DB    |   Bubblegum K.K. (Wall)
  21DC    |   K.K. Synth (Wall)
  21DD    |   K.K. Disco (Wall)
  21DE    |   K.K. Birthday (Wall)
  21DF    |   K.K. Chorale (Music Box)
  21E0    |   K.K. March (Music Box)
  21E1    |   K.K. Waltz (Music Box)
  21E2    |   K.K. Swing (Music Box)
  21E3    |   K.K. Jazz (Music Box)
  21E4    |   K.K. Fusion (Music Box)
  21E5    |   K.K. Étude (Music Box)
  21E6    |   K.K. Lullaby (Music Box)
  21E7    |   K.K. Aria (Music Box)
  21E8    |   K.K. Samba (Music Box)
  21E9    |   K.K. Bossa (Music Box)
  21EA    |   K.K. Calypso (Music Box)
  21EB    |   K.K. Salsa (Music Box)
  21EC    |   K.K. Mambo (Music Box)
  21ED    |   K.K. Reggae (Music Box)
  21EE    |   K.K. Ska (Music Box)
  21EF    |   K.K. Tango (Music Box)
  21F0    |   K.K. Faire (Music Box)
  21F1    |   Aloha K.K. (Music Box)
  21F2    |   Lucky K.K. (Music Box)
  21F3    |   K.K. Condor (Music Box)
  21F4    |   K.K. Steppe (Music Box)
  21F5    |   Imperial K.K. (Music Box)
  21F6    |   K.K. Casbah (Music Box)
  21F7    |   K.K. Safari (Music Box)
  21F8    |   K.K. Folk (Music Box)
  21F9    |   K.K. Rock (Music Box)
  21FA    |   Rockin' K.K. (Music Box)
  21FB    |   K.K. Ragtime (Music Box)
  21FC    |   K.K. Gumbo (Music Box)
  21FD    |   The K. Funk (Music Box)
  21FE    |   K.K. Blues (Music Box)
  21FF    |   Soulful K.K. (Music Box)
  2200    |   K.K. Soul (Music Box)
  2201    |   K.K. Cruisin' (Music Box)
  2202    |   K.K. Love Song (Music Box)
  2203    |   K.K. D&B (Music Box)
  2204    |   K.K. Technopop (Music Box)
  2205    |   DJ K.K. (Music Box)
  2206    |   Only Me (Music Box)
  2207    |   K.K. Country (Music Box)
  2208    |   Surfin' K.K. (Music Box)
  2209    |   K.K. Ballad (Music Box)
  220A    |   Comrade K.K. (Music Box)
  220B    |   K.K. Lament (Music Box)
  220C    |   Go K.K. Rider (Music Box)
  220D    |   K.K. Dirge (Music Box)
  220E    |   K.K. Western (Music Box)
  220F    |   Mr. K.K. (Music Box)
  2210    |   Café K.K. (Music Box)
  2211    |   K.K. Parade (Music Box)
  2212    |   Señor K.K. (Music Box)
  2213    |   K.K. Song (Music Box)
  2214    |   I Love You (Music Box)
  2215    |   Two Days Ago (Music Box)
  2216    |   My Place (Music Box)
  2217    |   Forest Life (Music Box)
  2218    |   To The Edge (Music Box)
  2219    |   Pondering (Music Box)
  221A    |   K.K. Dixie (Music Box)
  221B    |   K.K. Marathon (Music Box)
  221C    |   King K.K. (Music Box)
  221D    |   Mountain Song (Music Box)
  221E    |   Marine Song 2001 (Music Box)
  221F    |   Neapolitan (Music Box)
  2220    |   Steep Hill (Music Box)
  2221    |   K.K. Rockabilly (Music Box)
  2222    |   Agent K.K. (Music Box)
  2223    |   K.K. Rally (Music Box)
  2224    |   K.K. Metal (Music Box)
  2225    |   Stale Cupcakes (Music Box)
  2226    |   Spring Blossoms (Music Box)
  2227    |   Wandering (Music Box)
  2228    |   K.K. House (Music Box)
  2229    |   K.K. Sonata (Music Box)
  222A    |   Hypno K.K. (Music Box)
  222B    |   K.K. Stroll (Music Box)
  222C    |   K.K. Island (Music Box)
  222D    |   Space K.K. (Music Box)
  222E    |   K.K. Adventure (Music Box)
  222F    |   K.K. Oasis (Music Box)
  2230    |   K.K. Bazaar (Music Box)
  2231    |   K.K. Milonga (Music Box)
  2232    |   K.K. Groove (Music Box)
  2233    |   K.K. Jongara (Music Box)
  2234    |   K.K. Flamenco (Music Box)
  2235    |   K.K. Moody (Music Box)
  2236    |   Bubblegum K.K. (Music Box)
  2237    |   K.K. Synth (Music Box)
  2238    |   K.K. Disco (Music Box)
  2239    |   K.K. Birthday (Music Box)
  223A    |   Butterfly Paper
  223B    |   Airmail Paper
  223C    |   New Year's Cards
  223D    |   Lacy Paper
  223E    |   Cloudy Paper
  223F    |   Petal Paper
  2240    |   Snowy Paper
  2241    |   Maple-Leaf Paper
  2242    |   Lined Paper
  2243    |   Notebook Paper
  2244    |   Flowery Paper
  2245    |   Polka-Dot Paper
  2246    |   Weathered Paper
  2247    |   Ribbon Paper
  2248    |   Sparkly Paper
  2249    |   Vine Paper
  224A    |   Formal Paper
  224B    |   Snowman Paper
  224C    |   Card Paper
  224D    |   Leopard Paper
  224E    |   Cow Paper
  224F    |   Camouflage Paper
  2250    |   Hamburger Paper
  2251    |   Piano Paper
  2252    |   Nook Paper
  2253    |   Birthday Card
  2254    |   Four-Leaf Paper
  2255    |   Academy Paper
  2256    |   Lovely Paper
  2257    |   Rainbow Paper
  2258    |   Hieroglyph Paper
  2259    |   Lotus Paper
  225A    |   Tile Paper
  225B    |   Mosaic Paper
  225C    |   Elegant Paper
  225D    |   Town-View Paper
  225E    |   Imperial Paper
  225F    |   Ocean Paper
  2260    |   Industrial Paper
  2261    |   Fireworks Paper
  2262    |   Floral Paper
  2263    |   Mushroom Paper
  2264    |   Star Paper
  2265    |   Composer Paper
  2266    |   Bathtub Paper
  2267    |   SMB3 Paper
  2268    |   Cool Paper
  2269    |   Forest Paper
  226A    |   Bubble Paper
  226B    |   Buttercup Paper
  226C    |   Tartan Paper
  226D    |   Plaid Paper
  226E    |   Lemon-Lime Paper
  226F    |   Crater Paper
  2270    |   Bejeweled Paper
  2271    |   Geometric Paper
  2272    |   Southwest Paper
  2273    |   Night-Sky Paper
  2274    |   Chic Paper
  2275    |   Goldfish Paper
  2276    |   Halloween Paper
  2277    |   Gallery Paper
  2278    |   Museum Paper
  2279    |   Post-Office Paper
  227A    |   Melody Paper
  227B    |   10 Turnips
  227C    |   20 Turnips
  227D    |   30 Turnips
  227E    |   40 Turnips
  227F    |   50 Turnips
  2280    |   60 Turnips
  2281    |   70 Turnips
  2282    |   80 Turnips
  2283    |   90 Turnips
  2284    |   100 Turnips
  2285    |   Spoiled Turnips
  2286    |   Common Butterfly
  2287    |   Yellow Butterfly
  2288    |   Tiger Butterfly
  2289    |   Peacock Butterfly
  228A    |   Monarch Butterfly
  228B    |   Emperor Butterfly
  228C    |   Agrias Butterfly
  228D    |   Raja B. Butterfly
  228E    |   Birdwing Butterfly
  228F    |   Moth
  2290    |   Oak Silk Moth
  2291    |   Honeybee
  2292    |   Bee
  2293    |   Long Locust
  2294    |   Migratory Locust
  2295    |   Rice Grasshopper
  2296    |   Mantis
  2297    |   Orchid Mantis
  2298    |   Brown Cicada
  2299    |   Robust Cicada
  229A    |   Giant Cicada
  229B    |   Walker Cicada
  229C    |   Evening Cicada
  229D    |   Cicada Shell
  229E    |   Lantern Fly
  229F    |   Red Dragonfly
  22A0    |   Darner Dragonfly
  22A1    |   Banded Dragonfly
  22A2    |   Petaltail Dragonfly
  22A3    |   Ant
  22A4    |   Pondskater
  22A5    |   Diving Beetle
  22A6    |   Stinkbug
  22A7    |   Snail
  22A8    |   Cricket
  22A9    |   Bell Cricket
  22AA    |   Grasshopper
  22AB    |   Mole Cricket
  22AC    |   Walking Leaf
  22AD    |   Walking Stick
  22AE    |   Bagworm
  22AF    |   Ladybug
  22B0    |   Violin Beetle
  22B1    |   Longhorn Beetle
  22B2    |   Tiger Beetle
  22B3    |   Dung Beetle
  22B4    |   Wharf Roach
  22B5    |   Hermit Crab
  22B6    |   Firefly
  22B7    |   Fruit Beetle
  22B8    |   Scarab Beetle
  22B9    |   Jewel Beetle
  22BA    |   Miyama Stag
  22BB    |   Saw Stag
  22BC    |   Giant Stag
  22BD    |   Rainbow Stag
  22BE    |   Cyclommatus Stag
  22BF    |   Golden Stag
  22C0    |   Horned Dynastid
  22C1    |   Horned Atlas
  22C2    |   Horned Elephant
  22C3    |   Horned Hercules
  22C4    |   Goliath Beetle
  22C5    |   Flea
  22C6    |   Pill Bug
  22C7    |   Mosquito
  22C8    |   Fly
  22C9    |   House Centipede
  22CA    |   Centipede
  22CB    |   Spider
  22CC    |   Tarantula
  22CD    |   Scorpion
  22CE    |   Snowflake
  22CF    |   Red Feather
  22D0    |   Blue Feather
  22D1    |   Green Feather
  22D2    |   Yellow Feather
  22D3    |   Purple Feather
  22D4    |   White Feather
  22D5    |   Pink Feather
  22D6    |   Rainbow Feather
  22D7    |   Bitterling
  22D8    |   Pale Chub
  22D9    |   Crucian Carp
  22DA    |   Dace
  22DB    |   Barbel Steed
  22DC    |   Carp
  22DD    |   Koi
  22DE    |   Goldfish
  22DF    |   Pop-Eyed Goldfish
  22E0    |   Killifish
  22E1    |   Crawfish
  22E2    |   Soft-Shelled Turtle
  22E3    |   Tadpole
  22E4    |   Frog
  22E5    |   Freshwater Goby
  22E6    |   Loach
  22E7    |   Catfish
  22E8    |   Eel
  22E9    |   Giant Snakehead
  22EA    |   Bluegill
  22EB    |   Yellow Perch
  22EC    |   Black Bass
  22ED    |   Pike
  22EE    |   Pond Smelt
  22EF    |   Sweetfish
  22F0    |   Cherry Salmon
  22F1    |   Char
  22F2    |   Rainbow Trout
  22F3    |   Stringfish
  22F4    |   Salmon
  22F5    |   King Salmon
  22F6    |   Mitten Crab
  22F7    |   Guppy
  22F8    |   Nibble Fish
  22F9    |   Angelfish
  22FA    |   Neon Tetra
  22FB    |   Piranha
  22FC    |   Arowana
  22FD    |   Dorado
  22FE    |   Gar
  22FF    |   Arapaima
  2300    |   Saddled Bichir
  2301    |   Sea Butterfly
  2302    |   Sea Horse
  2303    |   Clown Fish
  2304    |   Surgeonfish
  2305    |   Butterfly Fish
  2306    |   Napoleonfish
  2307    |   Zebra Turkeyfish
  2308    |   Blowfish
  2309    |   Puffer Fish
  230A    |   Horse Mackerel
  230B    |   Barred Knifejaw
  230C    |   Sea Bass
  230D    |   Red Snapper
  230E    |   Dab
  230F    |   Olive Flounder
  2310    |   Squid
  2311    |   Moray Eel
  2312    |   Ribbon Eel
  2313    |   Football Fish
  2314    |   Tuna
  2315    |   Blue Marlin
  2316    |   Giant Trevally
  2317    |   Ray
  2318    |   Ocean Sunfish
  2319    |   Hammerhead Shark
  231A    |   Shark
  231B    |   Saw Shark
  231C    |   Whale Shark
  231D    |   Oarfish
  231E    |   Coelacanth
  231F    |   Empty Can
  2320    |   Boot
  2321    |   Old Tire
  2322    |   Water Egg
  2323    |   Seaweed
  2324    |   Sea Grapes
  2325    |   Sea Urchin
  2326    |   Acorn Barnacle
  2327    |   Oyster
  2328    |   Turban Shell
  2329    |   Abalone
  232A    |   Ear Shell
  232B    |   Clam
  232C    |   Pearl Oyster
  232D    |   Scallop
  232E    |   Sea Anemone
  232F    |   Sea Star
  2330    |   Sea Cucumber
  2331    |   Sea Slug
  2332    |   Flatworm
  2333    |   Mantis Shrimp
  2334    |   Sweet Shrimp
  2335    |   Tiger Prawn
  2336    |   Spiny Lobster
  2337    |   Lobster
  2338    |   Snow Crab
  2339    |   Horsehair Crab
  233A    |   Red King Crab
  233B    |   Spider Crab
  233C    |   Octopus
  233D    |   Spotted Garden Eel
  233E    |   Chambered Nautilus
  233F    |   Horseshoe Crab
  2340    |   Giant Isopod
  2341    |   Deep-Sea Egg
  2342    |   Exotic Wall
  2343    |   Lovely Wall
  2344    |   Classic Wall
  2345    |   Ranch Wall
  2346    |   Cabana Wall
  2347    |   Blue Wall
  2348    |   Modern Wall
  2349    |   Regal Wall
  234A    |   Green Wall
  234B    |   Cabin Wall
  234C    |   Kiddie Wall
  234D    |   Robo-Wall
  234E    |   Snowman Wall
  234F    |   Forest Wall
  2350    |   Pavé Wall
  2351    |   Egg Wall
  2352    |   Spooky Wall
  2353    |   Harvest Wall
  2354    |   Jingle Wall
  2355    |   Princess Wall
  2356    |   Gracie Wallpaper
  2357    |   Sweets Wall
  2358    |   Gorgeous Wall
  2359    |   Western Vista
  235A    |   Lunar Horizon
  235B    |   Blue Tarp
  235C    |   Ringside Seating
  235D    |   Backyard Fence
  235E    |   Playroom Wall
  235F    |   Sea View
  2360    |   Lab Wall
  2361    |   Classroom Wall
  2362    |   Bathhouse Wall
  2363    |   Pastel-Dot Wall
  2364    |   Parlor Wall
  2365    |   Mod Wall
  2366    |   Kitschy Wall
  2367    |   Groovy Wall
  2368    |   Backgammon Wall
  2369    |   Mosaic Wall
  236A    |   Blue-Trim Wall
  236B    |   Plaster Wall
  236C    |   Chic Wall
  236D    |   Ornate Wall
  236E    |   Citrus Wall
  236F    |   Rose Wall
  2370    |   Old Brick Wall
  2371    |   Shoji Screen
  2372    |   Gold Screen Wall
  2373    |   Tearoom Wall
  2374    |   Modern Screen
  2375    |   Garden Wall
  2376    |   Mortar Wall
  2377    |   Stone Wall
  2378    |   Concrete Wall
