  Item ID   |                      Item Name                     |            Filepath
  0x2029    | Perfect Cherries                                   |    romfs:/Item/Model/int_fru_cherry_d.bcres
  0x202A    | Fossil                                             |    No Model (Likely a Sprite)
  0x202B    | Fertilizer                                         |    No Model (Likely a Sprite)
  0x202C    | Sapling                                            |    No Model (Likely a Sprite)
  0x202D    | Cedar Sapling                                      |    No Model (Likely a Sprite)
  0x202E    | Holly Shoot                                        |    No Model (Likely a Sprite)
  0x202F    | Pink Azalea Shoot                                  |    No Model (Likely a Sprite)
  0x2030    | White Azalea Shoot                                 |    No Model (Likely a Sprite)
  0x2031    | Blue Hydrangea Shoot                               |    No Model (Likely a Sprite)
  0x2032    | Pink Hydrangea Shoot                               |    No Model (Likely a Sprite)
  0x2033    | Red Hibiscus Shoot                                 |    No Model (Likely a Sprite)
  0x2034    | Y. Hibiscus Shoot                                  |    No Model (Likely a Sprite)
  0x2035    | Sweet Olive Shoot                                  |    No Model (Likely a Sprite)
  0x2036    | Present                                            |    No Model (Likely a Sprite)
  0x2037    | Present For Another Villager (Sprite)              |    No Model (Likely a Sprite)
  0x2038    | Red-Tulip Bag                                      |    No Model (Likely a Sprite)
  0x2039    | White-Tulip Bag                                    |    No Model (Likely a Sprite)
  0x203A    | Yellow-Tulip Bag                                   |    No Model (Likely a Sprite)
  0x203B    | Pink-Tulip Bag                                     |    No Model (Likely a Sprite)
  0x203C    | Purple-Tulip Bag                                   |    No Model (Likely a Sprite)
  0x203D    | Black-Tulip Bag                                    |    No Model (Likely a Sprite)
  0x203E    | Orange-Tulip Bag                                   |    No Model (Likely a Sprite)
  0x203F    | White-Pansy Bag                                    |    No Model (Likely a Sprite)
  0x2040    | Yellow-Pansy Bag                                   |    No Model (Likely a Sprite)
  0x2041    | Red-Pansy Bag                                      |    No Model (Likely a Sprite)
  0x2042    | Purple-Pansy Bag                                   |    No Model (Likely a Sprite)
  0x2043    | Orange-Pansy Bag                                   |    No Model (Likely a Sprite)
  0x2044    | Blue-Pansy Bag                                     |    No Model (Likely a Sprite)
  0x2045    | White-Cosmos Bag                                   |    No Model (Likely a Sprite)
  0x2046    | Red-Cosmos Bag                                     |    No Model (Likely a Sprite)
  0x2047    | Sun-Cosmos Bag                                     |    No Model (Likely a Sprite)
  0x2048    | Pink-Cosmos Bag                                    |    No Model (Likely a Sprite)
  0x2049    | Orange-Cosmos Bag                                  |    No Model (Likely a Sprite)
  0x204A    | Black-Cosmos Bag                                   |    No Model (Likely a Sprite)
  0x204B    | Red-Rose Bag                                       |    No Model (Likely a Sprite)
  0x204C    | White-Rose Bag                                     |    No Model (Likely a Sprite)
  0x204D    | Yellow-Rose Bag                                    |    No Model (Likely a Sprite)
  0x204E    | Pink-Rose Bag                                      |    No Model (Likely a Sprite)
  0x204F    | Orange-Rose Bag                                    |    No Model (Likely a Sprite)
  0x2050    | Purple-Rose Bag                                    |    No Model (Likely a Sprite)
  0x2051    | Black-Rose Bag                                     |    No Model (Likely a Sprite)
  0x2052    | Blue-Rose Bag                                      |    No Model (Likely a Sprite)
  0x2053    | Gold-Rose Bag                                      |    No Model (Likely a Sprite)
  0x2054    | Red-Carnation Bag                                  |    No Model (Likely a Sprite)
  0x2055    | Pink-Carnation Bag                                 |    No Model (Likely a Sprite)
  0x2056    | White-Carnation Bag                                |    No Model (Likely a Sprite)
  0x2057    | White-Lily Bag                                     |    No Model (Likely a Sprite)
  0x2058    | Yellow-Lily Bag                                    |    No Model (Likely a Sprite)
  0x2059    | Red-Lily Bag                                       |    No Model (Likely a Sprite)
  0x205A    | Orange-Lily Bag                                    |    No Model (Likely a Sprite)
  0x205B    | Pink-Lily Bag                                      |    No Model (Likely a Sprite)
  0x205C    | Black-Lily Bag                                     |    No Model (Likely a Sprite)
  0x205D    | Purple-Violet Bag                                  |    No Model (Likely a Sprite)
  0x205E    | Blue-Violet Bag                                    |    No Model (Likely a Sprite)
  0x205F    | White-Violet Bag                                   |    No Model (Likely a Sprite)
  0x2060    | Yellow-Violet Bag                                  |    No Model (Likely a Sprite)
  0x2061    | Uni-Directional Chair (Invisible)                  |    romfs:/Item/Model/int_clear.bcres
  0x2062    | Café Dining Chair (Invisible)                      |    romfs:/Item/Model/int_clear.bcres
  0x2063    | Town Hall Chair (Invisible)                        |    romfs:/Item/Model/int_clear.bcres
  0x2064    | ???                                                |    romfs:/Item/Model/int_clear.bcres
  0x2065    | ???                                                |    romfs:/Item/Model/int_clear.bcres
  0x2066    | Campsite Log Seat (Invisible)                      |    romfs:/Item/Model/int_clear.bcres
  0x2067    | RV Right Chair (Invisible)                         |    romfs:/Item/Model/int_clear.bcres
  0x2068    | RV Left Chair (Invisible)                          |    romfs:/Item/Model/int_clear.bcres
  0x2069    | ???                                                |    romfs:/Item/Model/int_clear.bcres
  0x206A    | Campsite Tree Stump (Invisible)                    |    romfs:/Item/Model/int_clear.bcres
  0x206B    | Campsite Hammock (Invisible)                       |    romfs:/Item/Model/int_clear.bcres
  0x206C    | Dream Suite Bed (Invisible)                        |    romfs:/Item/Model/int_clear.bcres
  0x206D    | Dream Suite Couch (Invisible)                      |    romfs:/Item/Model/int_clear.bcres
  0x206E    | ???                                                |    romfs:/Item/Model/int_clear.bcres
  0x206F    | Museum Cushion Chair (Invisible)                   |    romfs:/Item/Model/int_clear.bcres
  0x2070    | ???                                                |    romfs:/Item/Model/int_clear.bcres
  0x2071    | ???                                                |    romfs:/Item/Model/int_clear.bcres
  0x2072    | ???                                                |    romfs:/Item/Model/int_clear.bcres
  0x2073    | RV Radio (Invisible)                               |    romfs:/Item/Model/int_clear.bcres
  0x2074    | DJ K.K. Table                                      |    romfs:/Item/Model/int_oth_djbooth_kk.bcres
  0x2075    | 1x1 Museum Item Podium (Fossils)                   |    romfs:/Item/Model/int_obj_fossilbaseS.bcres
  0x2076    | 1x2 Museum Item Stand (Dinosaurs)                  |    romfs:/Item/Model/int_obj_fossilbaseM.bcres
  0x2077    | 2x2 Museum Item Stand (Dinosaurs)                  |    romfs:/Item/Model/int_obj_fossilbaseL.bcres
  0x2078    | ???                                                |    No Model (Likely a Sprite)
  0x2079    | 1x1 Shops Item Hangup                              |    No Model (Likely a Sprite)
  0x207A    | 1x2 Shops Item Hangup                              |    No Model (Likely a Sprite)
  0x207B    | Retail Chair (Invisible)                           |    romfs:/Item/Model/int_clear.bcres
  0x207C    | Island Hut Chair (Invisible)                       |    romfs:/Item/Model/int_clear.bcres
  0x207D    | Harvey's Chair (Invisible)                         |    romfs:/Item/Model/int_clear.bcres
  0x207E    | Moving Boxes                                       |    romfs:/Item/Model/int_mov_box_S.bcres
  0x207F    | Moving Boxes Medium                                |    romfs:/Item/Model/int_mov_box_M.bcres
  0x2080    | Moving Boxes Large                                 |    romfs:/Item/Model/int_mov_box_L.bcres
  0x2081    | Train Station Locker                               |    romfs:/Item/Model/int_oth_locker.bcres
  0x2082    | Museum Locker                                      |    romfs:/Item/Model/int_oth_locker.bcres
  0x2083    | General Sold-Out Sign                              |    No Model (Likely a Sprite)
  0x2084    | Gracie Sold-Out Sign                               |    No Model (Likely a Sprite)
  0x2085    | Retail Sold-Out Sign                               |    No Model (Likely a Sprite)
  0x2086    | Nooklings Sold-Out Sign (Wall)                     |    No Model (Likely a Sprite)
  0x2087    | Gracie Sold-Out Sign (Wall)                        |    No Model (Likely a Sprite)
  0x2088    | Redd Sold-Out Sign                                 |    No Model (Likely a Sprite)
  0x2089    | Wrapping Paper                                     |    No Model (Likely a Sprite)
  0x208A    | Medicine                                           |    No Model (Likely a Sprite)
  0x208B    | Chocolate Heart                                    |    No Model (Likely a Sprite)
  0x208C    | Pearl-Oyster Shell                                 |    romfs:/Item/Model/int_shl_akoya.bcres
  0x208D    | Conch Shell                                        |    romfs:/Item/Model/int_shl_hora.bcres
  0x208E    | Giant-Clam Shell                                   |    romfs:/Item/Model/int_shl_syako.bcres
  0x208F    | Coral                                              |    romfs:/Item/Model/int_shl_sango.bcres
  0x2090    | Venus-Comb Shell                                   |    romfs:/Item/Model/int_shl_hone.bcres
  0x2091    | Scallop Shell                                      |    romfs:/Item/Model/int_shl_hotate.bcres
  0x2092    | Sea-Snail Shell                                    |    romfs:/Item/Model/int_shl_ebisu.bcres
  0x2093    | Cowrie Shell                                       |    romfs:/Item/Model/int_shl_takara.bcres
  0x2094    | Sand Dollar                                        |    romfs:/Item/Model/int_shl_sanddollar.bcres
  0x2095    | Oyster Shell                                       |    romfs:/Item/Model/int_shl_kaki.bcres
  0x2096    | Candy                                              |    No Model (Likely a Sprite)
  0x2097    | Lollipop                                           |    No Model (Likely a Sprite)
  0x2098    | Elegant Mushroom                                   |    No Model (Likely a Sprite)
  0x2099    | Round Mushroom                                     |    No Model (Likely a Sprite)
  0x209A    | Skinny Mushroom                                    |    No Model (Likely a Sprite)
  0x209B    | Flat Mushroom                                      |    No Model (Likely a Sprite)
  0x209C    | Rare Mushroom                                      |    No Model (Likely a Sprite)
  0x209D    | Famous Mushroom                                    |    No Model (Likely a Sprite)
  0x209E    | Beehive                                            |    No Model (Likely a Sprite)
  0x209F    | Pitfall Seed                                       |    No Model (Likely a Sprite)
  0x20A0    | Tricky Pitfall Seed                                |    No Model (Likely a Sprite)
  0x20A1    | Gold Nugget                                        |    No Model (Likely a Sprite)
  0x20A2    | Silver Nugget                                      |    No Model (Likely a Sprite)
  0x20A3    | Ruby                                               |    No Model (Likely a Sprite)
  0x20A4    | Sapphire                                           |    No Model (Likely a Sprite)
  0x20A5    | Emerald                                            |    No Model (Likely a Sprite)
  0x20A6    | Amethyst                                           |    No Model (Likely a Sprite)
  0x20A7    | Butter                                             |    No Model (Likely a Sprite)
  0x20A8    | Milk                                               |    No Model (Likely a Sprite)
  0x20A9    | Vinegar                                            |    No Model (Likely a Sprite)
  0x20AA    | Flour                                              |    No Model (Likely a Sprite)
  0x20AB    | Sugar                                              |    No Model (Likely a Sprite)
  0x20AC    | 100 Bells                                          |    No Model (Likely a Sprite)
  0x20AD    | 200 Bells                                          |    No Model (Likely a Sprite)
  0x20AE    | 300 Bells                                          |    No Model (Likely a Sprite)
  0x20AF    | 400 Bells                                          |    No Model (Likely a Sprite)
  0x20B0    | 500 Bells                                          |    No Model (Likely a Sprite)
  0x20B1    | 600 Bells                                          |    No Model (Likely a Sprite)
  0x20B2    | 700 Bells                                          |    No Model (Likely a Sprite)
  0x20B3    | 800 Bells                                          |    No Model (Likely a Sprite)
  0x20B4    | 900 Bells                                          |    No Model (Likely a Sprite)
  0x20B5    | 1,000 Bells                                        |    No Model (Likely a Sprite)
  0x20B6    | 2,000 Bells                                        |    No Model (Likely a Sprite)
  0x20B7    | 3,000 Bells                                        |    No Model (Likely a Sprite)
  0x20B8    | 4,000 Bells                                        |    No Model (Likely a Sprite)
  0x20B9    | 5,000 Bells                                        |    No Model (Likely a Sprite)
  0x20BA    | 6,000 Bells                                        |    No Model (Likely a Sprite)
  0x20BB    | 7,000 Bells                                        |    No Model (Likely a Sprite)
  0x20BC    | 8,000 Bells                                        |    No Model (Likely a Sprite)
  0x20BD    | 9,000 Bells                                        |    No Model (Likely a Sprite)
  0x20BE    | 10,000 Bells                                       |    No Model (Likely a Sprite)
  0x20BF    | 11,000 Bells                                       |    No Model (Likely a Sprite)
  0x20C0    | 12,000 Bells                                       |    No Model (Likely a Sprite)
  0x20C1    | 13,000 Bells                                       |    No Model (Likely a Sprite)
  0x20C2    | 14,000 Bells                                       |    No Model (Likely a Sprite)
  0x20C3    | 15,000 Bells                                       |    No Model (Likely a Sprite)
  0x20C4    | 16,000 Bells                                       |    No Model (Likely a Sprite)
  0x20C5    | 17,000 Bells                                       |    No Model (Likely a Sprite)
  0x20C6    | 18,000 Bells                                       |    No Model (Likely a Sprite)
  0x20C7    | 19,000 Bells                                       |    No Model (Likely a Sprite)
  0x20C8    | 20,000 Bells                                       |    No Model (Likely a Sprite)
  0x20C9    | 21,000 Bells                                       |    No Model (Likely a Sprite)
  0x20CA    | 22,000 Bells                                       |    No Model (Likely a Sprite)
  0x20CB    | 23,000 Bells                                       |    No Model (Likely a Sprite)
  0x20CC    | 24,000 Bells                                       |    No Model (Likely a Sprite)
  0x20CD    | 25,000 Bells                                       |    No Model (Likely a Sprite)
  0x20CE    | 26,000 Bells                                       |    No Model (Likely a Sprite)
  0x20CF    | 27,000 Bells                                       |    No Model (Likely a Sprite)
  0x20D0    | 28,000 Bells                                       |    No Model (Likely a Sprite)
  0x20D1    | 29,000 Bells                                       |    No Model (Likely a Sprite)
  0x20D2    | 30,000 Bells                                       |    No Model (Likely a Sprite)
  0x20D3    | 31,000 Bells                                       |    No Model (Likely a Sprite)
  0x20D4    | 32,000 Bells                                       |    No Model (Likely a Sprite)
  0x20D5    | 33,000 Bells                                       |    No Model (Likely a Sprite)
  0x20D6    | 34,000 Bells                                       |    No Model (Likely a Sprite)
  0x20D7    | 35,000 Bells                                       |    No Model (Likely a Sprite)
  0x20D8    | 36,000 Bells                                       |    No Model (Likely a Sprite)
  0x20D9    | 37,000 Bells                                       |    No Model (Likely a Sprite)
  0x20DA    | 38,000 Bells                                       |    No Model (Likely a Sprite)
  0x20DB    | 39,000 Bells                                       |    No Model (Likely a Sprite)
  0x20DC    | 40,000 Bells                                       |    No Model (Likely a Sprite)
  0x20DD    | 41,000 Bells                                       |    No Model (Likely a Sprite)
  0x20DE    | 42,000 Bells                                       |    No Model (Likely a Sprite)
  0x20DF    | 43,000 Bells                                       |    No Model (Likely a Sprite)
  0x20E0    | 44,000 Bells                                       |    No Model (Likely a Sprite)
  0x20E1    | 45,000 Bells                                       |    No Model (Likely a Sprite)
  0x20E2    | 46,000 Bells                                       |    No Model (Likely a Sprite)
  0x20E3    | 47,000 Bells                                       |    No Model (Likely a Sprite)
  0x20E4    | 48,000 Bells                                       |    No Model (Likely a Sprite)
  0x20E5    | 49,000 Bells                                       |    No Model (Likely a Sprite)
  0x20E6    | 50,000 Bells                                       |    No Model (Likely a Sprite)
  0x20E7    | 51,000 Bells                                       |    No Model (Likely a Sprite)
  0x20E8    | 52,000 Bells                                       |    No Model (Likely a Sprite)
  0x20E9    | 53,000 Bells                                       |    No Model (Likely a Sprite)
  0x20EA    | 54,000 Bells                                       |    No Model (Likely a Sprite)
  0x20EB    | 55,000 Bells                                       |    No Model (Likely a Sprite)
  0x20EC    | 56,000 Bells                                       |    No Model (Likely a Sprite)
  0x20ED    | 57,000 Bells                                       |    No Model (Likely a Sprite)
  0x20EE    | 58,000 Bells                                       |    No Model (Likely a Sprite)
  0x20EF    | 59,000 Bells                                       |    No Model (Likely a Sprite)
  0x20F0    | 60,000 Bells                                       |    No Model (Likely a Sprite)
  0x20F1    | 61,000 Bells                                       |    No Model (Likely a Sprite)
  0x20F2    | 62,000 Bells                                       |    No Model (Likely a Sprite)
  0x20F3    | 63,000 Bells                                       |    No Model (Likely a Sprite)
  0x20F4    | 64,000 Bells                                       |    No Model (Likely a Sprite)
  0x20F5    | 65,000 Bells                                       |    No Model (Likely a Sprite)
  0x20F6    | 66,000 Bells                                       |    No Model (Likely a Sprite)
  0x20F7    | 67,000 Bells                                       |    No Model (Likely a Sprite)
  0x20F8    | 68,000 Bells                                       |    No Model (Likely a Sprite)
  0x20F9    | 69,000 Bells                                       |    No Model (Likely a Sprite)
  0x20FA    | 70,000 Bells                                       |    No Model (Likely a Sprite)
  0x20FB    | 71,000 Bells                                       |    No Model (Likely a Sprite)
  0x20FC    | 72,000 Bells                                       |    No Model (Likely a Sprite)
  0x20FD    | 73,000 Bells                                       |    No Model (Likely a Sprite)
  0x20FE    | 74,000 Bells                                       |    No Model (Likely a Sprite)
  0x20FF    | 75,000 Bells                                       |    No Model (Likely a Sprite)
  0x2100    | 76,000 Bells                                       |    No Model (Likely a Sprite)
  0x2101    | 77,000 Bells                                       |    No Model (Likely a Sprite)
  0x2102    | 78,000 Bells                                       |    No Model (Likely a Sprite)
  0x2103    | 79,000 Bells                                       |    No Model (Likely a Sprite)
  0x2104    | 80,000 Bells                                       |    No Model (Likely a Sprite)
  0x2105    | 81,000 Bells                                       |    No Model (Likely a Sprite)
  0x2106    | 82,000 Bells                                       |    No Model (Likely a Sprite)
  0x2107    | 83,000 Bells                                       |    No Model (Likely a Sprite)
  0x2108    | 84,000 Bells                                       |    No Model (Likely a Sprite)
  0x2109    | 85,000 Bells                                       |    No Model (Likely a Sprite)
  0x210A    | 86,000 Bells                                       |    No Model (Likely a Sprite)
  0x210B    | 87,000 Bells                                       |    No Model (Likely a Sprite)
  0x210C    | 88,000 Bells                                       |    No Model (Likely a Sprite)
  0x210D    | 89,000 Bells                                       |    No Model (Likely a Sprite)
  0x210E    | 90,000 Bells                                       |    No Model (Likely a Sprite)
  0x210F    | 91,000 Bells                                       |    No Model (Likely a Sprite)
  0x2110    | 92,000 Bells                                       |    No Model (Likely a Sprite)
  0x2111    | 93,000 Bells                                       |    No Model (Likely a Sprite)
  0x2112    | 94,000 Bells                                       |    No Model (Likely a Sprite)
  0x2113    | 95,000 Bells                                       |    No Model (Likely a Sprite)
  0x2114    | 96,000 Bells                                       |    No Model (Likely a Sprite)
  0x2115    | 97,000 Bells                                       |    No Model (Likely a Sprite)
  0x2116    | 98,000 Bells                                       |    No Model (Likely a Sprite)
  0x2117    | 99,000 Bells                                       |    No Model (Likely a Sprite)
  0x2118    | Earth Egg                                          |    No Model (Likely a Sprite)
  0x2119    | Tree Egg                                           |    No Model (Likely a Sprite)
  0x211A    | Stone Egg                                          |    No Model (Likely a Sprite)
  0x211B    | Sky Egg                                            |    No Model (Likely a Sprite)
  0x211C    | Winning Ticket                                     |    No Model (Likely a Sprite)
  0x211D    | Grand-Prize Ticket                                 |    No Model (Likely a Sprite)
  0x211E    | Forest Wall (Mushroomized)                         |    No Model (Likely a Sprite)
  0x211F    | Forest Floor (Mushroomized)                        |    No Model (Likely a Sprite)
  0x2120    | Mush Bed (Mushroomized)                            |    No Model (Likely a Sprite)
  0x2121    | Mush Dresser (Mushroomized)                        |    No Model (Likely a Sprite)
  0x2122    | Mush Closet (Mushroomized)                         |    No Model (Likely a Sprite)
  0x2123    | Mush Chair (Mushroomized)                          |    No Model (Likely a Sprite)
  0x2124    | Mush Stool (Mushroomized)                          |    No Model (Likely a Sprite)
  0x2125    | Mush Table (Mushroomized)                          |    No Model (Likely a Sprite)
  0x2126    | Mush End Table (Mushroomized)                      |    No Model (Likely a Sprite)
  0x2127    | Mush Lamp (Mushroomized)                           |    No Model (Likely a Sprite)
  0x2128    | Mush Wall Lamp (Mushroomized)                      |    No Model (Likely a Sprite)
  0x2129    | Mush TV (Mushroomized)                             |    No Model (Likely a Sprite)
  0x212A    | Mush Hanger (Mushroomized)                         |    No Model (Likely a Sprite)
  0x212B    | K.K. Chorale                                       |    romfs:/Item/Model/mjk_Sanbika.bcres
  0x212C    | K.K. March                                         |    romfs:/Item/Model/mjk_March.bcres
  0x212D    | K.K. Waltz                                         |    romfs:/Item/Model/mjk_Waltz.bcres
  0x212E    | K.K. Swing                                         |    romfs:/Item/Model/mjk_Swing.bcres
  0x212F    | K.K. Jazz                                          |    romfs:/Item/Model/mjk_Jazz.bcres
  0x2130    | K.K. Fusion                                        |    romfs:/Item/Model/mjk_Fusion.bcres
  0x2131    | K.K. Étude                                         |    romfs:/Item/Model/mjk_Etude.bcres
  0x2132    | K.K. Lullaby                                       |    romfs:/Item/Model/mjk_Lullaby.bcres
  0x2133    | K.K. Aria                                          |    romfs:/Item/Model/mjk_Maria.bcres
  0x2134    | K.K. Samba                                         |    romfs:/Item/Model/mjk_Samba.bcres
  0x2135    | K.K. Bossa                                         |    romfs:/Item/Model/mjk_Bossa.bcres
  0x2136    | K.K. Calypso                                       |    romfs:/Item/Model/mjk_Caripso.bcres
  0x2137    | K.K. Salsa                                         |    romfs:/Item/Model/mjk_Salsa.bcres
  0x2138    | K.K. Mambo                                         |    romfs:/Item/Model/mjk_Mambo.bcres
  0x2139    | K.K. Reggae                                        |    romfs:/Item/Model/mjk_Reggae.bcres
  0x213A    | K.K. Ska                                           |    romfs:/Item/Model/mjk_Ska.bcres
  0x213B    | K.K. Tango                                         |    romfs:/Item/Model/mjk_Tango.bcres
  0x213C    | K.K. Faire                                         |    romfs:/Item/Model/mjk_Haisai.bcres
  0x213D    | Aloha K.K.                                         |    romfs:/Item/Model/mjk_Aloha.bcres
  0x213E    | Lucky K.K.                                         |    romfs:/Item/Model/mjk_Irish.bcres
  0x213F    | K.K. Condor                                        |    romfs:/Item/Model/mjk_Peru.bcres
  0x2140    | K.K. Steppe                                        |    romfs:/Item/Model/mjk_Cossack.bcres
  0x2141    | Imperial K.K.                                      |    romfs:/Item/Model/mjk_China.bcres
  0x2142    | K.K. Casbah                                        |    romfs:/Item/Model/mjk_Turkey.bcres
  0x2143    | K.K. Safari                                        |    romfs:/Item/Model/mjk_Afro.bcres
  0x2144    | K.K. Folk                                          |    romfs:/Item/Model/mjk_Minyo.bcres
  0x2145    | K.K. Rock                                          |    romfs:/Item/Model/mjk_Rock.bcres
  0x2146    | Rockin' K.K.                                       |    romfs:/Item/Model/mjk_RocknRoll.bcres
  0x2147    | K.K. Ragtime                                       |    romfs:/Item/Model/mjk_RagTime.bcres
  0x2148    | K.K. Gumbo                                         |    romfs:/Item/Model/mjk_NewOrleans.bcres
  0x2149    | The K. Funk                                        |    romfs:/Item/Model/mjk_Funk.bcres
  0x214A    | K.K. Blues                                         |    romfs:/Item/Model/mjk_Blues.bcres
  0x214B    | Soulful K.K.                                       |    romfs:/Item/Model/mjk_Gospel.bcres
  0x214C    | K.K. Soul                                          |    romfs:/Item/Model/mjk_Soul.bcres
  0x214D    | K.K. Cruisin'                                      |    romfs:/Item/Model/mjk_Urban.bcres
  0x214E    | K.K. Love Song                                     |    romfs:/Item/Model/mjk_LoveSong.bcres
  0x214F    | K.K. D&B                                           |    romfs:/Item/Model/mjk_Drumnbass.bcres
  0x2150    | K.K. Technopop                                     |    romfs:/Item/Model/mjk_TechnoBeat.bcres
  0x2151    | DJ K.K.                                            |    romfs:/Item/Model/mjk_EuroBeat.bcres
  0x2152    | Only Me                                            |    romfs:/Item/Model/mjk_OnlyMe.bcres
  0x2153    | K.K. Country                                       |    romfs:/Item/Model/mjk_Country.bcres
  0x2154    | Surfin' K.K.                                       |    romfs:/Item/Model/mjk_Eleki.bcres
  0x2155    | K.K. Ballad                                        |    romfs:/Item/Model/mjk_Ballad.bcres
  0x2156    | Comrade K.K.                                       |    romfs:/Item/Model/mjk_ShowaKayo.bcres
  0x2157    | K.K. Lament                                        |    romfs:/Item/Model/mjk_Enka.bcres
  0x2158    | Go K.K. Rider                                      |    romfs:/Item/Model/mjk_KekeRider.bcres
  0x2159    | K.K. Dirge                                         |    romfs:/Item/Model/mjk_KowaiUta.bcres
  0x215A    | K.K. Western                                       |    romfs:/Item/Model/mjk_Western.bcres
  0x215B    | Mr. K.K.                                           |    romfs:/Item/Model/mjk_Sensei.bcres
  0x215C    | Café K.K.                                          |    romfs:/Item/Model/mjk_Paris.bcres
  0x215D    | K.K. Parade                                        |    romfs:/Item/Model/mjk_Parade.bcres
  0x215E    | Señor K.K.                                         |    romfs:/Item/Model/mjk_Senor.bcres
  0x215F    | K.K. Song                                          |    romfs:/Item/Model/mjk_KekeSong.bcres
  0x2160    | I Love You                                         |    romfs:/Item/Model/mjk_Daisuki.bcres
  0x2161    | Two Days Ago                                       |    romfs:/Item/Model/mjk_Ototoi.bcres
  0x2162    | My Place                                           |    romfs:/Item/Model/mjk_BokuNoBasho.bcres
  0x2163    | Forest Life                                        |    romfs:/Item/Model/mjk_MoriNoSeikatsu.bcres
  0x2164    | To The Edge                                        |    romfs:/Item/Model/mjk_NamiNami.bcres
  0x2165    | Pondering                                          |    romfs:/Item/Model/mjk_KangaeChu.bcres
  0x2166    | K.K. Dixie                                         |    romfs:/Item/Model/mjk_Dixie.bcres
  0x2167    | K.K. Marathon                                      |    romfs:/Item/Model/mjk_Gamelan.bcres
  0x2168    | King K.K.                                          |    romfs:/Item/Model/mjk_Daimyo.bcres
  0x2169    | Mountain Song                                      |    romfs:/Item/Model/mjk_Alpine.bcres
  0x216A    | Marine Song 2001                                   |    romfs:/Item/Model/mjk_HunaUta2001.bcres
  0x216B    | Neapolitan                                         |    romfs:/Item/Model/mjk_Napolitan.bcres
  0x216C    | Steep Hill                                         |    romfs:/Item/Model/mjk_NiDanZaka.bcres
  0x216D    | K.K. Rockabilly                                    |    romfs:/Item/Model/mjk_KekeBilly.bcres
  0x216E    | Agent K.K.                                         |    romfs:/Item/Model/mjk_Keiji.bcres
  0x216F    | K.K. Rally                                         |    romfs:/Item/Model/mjk_Ondo.bcres
  0x2170    | K.K. Metal                                         |    romfs:/Item/Model/mjk_Metal.bcres
